"Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","SalaryHikePerYear","AverageYearsCompany","AgeToJubilation","DifferentManagers"
39,"No","Travel_Frequently",672,"Research & Development","3","College","Medical","High","Male",54,"Medium","Director","Manager","Very High","Married",19272,21141,2,"No",15,"Excellent","Low","Few",21,2,"Better",21,9,13,3,0.714285714285714,10.5,27,"Yes"
39,"Yes","Travel_Rarely",1162,"Sales","2","College","Medical","Very High","Female",41,"High","Junior","Sales Executive","High","Married",5238,17778,5,"Yes",18,"Excellent","Low","No",12,3,"Good",1,0,0,0,18,2.4,27,"Yes"
33,"No","Travel_Frequently",508,"Sales","3","Bachelor","Marketing","Medium","Male",46,"Medium","Junior","Sales Executive","Very High","Single",4682,4317,4,"No",14,"Excellent","High","No",9,6,"Good",7,7,0,1,2,2.25,33,"Yes"
47,"No","Travel_Rarely",1482,"Research & Development","2","Doctor","Life Sciences","Very High","Male",42,"High","Director","Directors","High","Married",18300,16375,5,"No",11,"Excellent","Medium","Few",21,2,"Better",3,2,1,1,3.66666666666667,4.2,19,"Yes"
43,"No","Travel_Frequently",559,"Research & Development","3","Master","Life Sciences","High","Female",82,"Medium","Junior","Lab. Tech.","High","Divorced",5257,6227,2,"No",11,"Excellent","Medium","Few",9,3,"Best",9,7,0,0,1.22222222222222,4.5,23,"Yes"
27,"No","Non-Travel",210,"Sales","1","Below College","Marketing","High","Male",73,"High","Junior","Sales Executive","Medium","Married",6349,22107,1,"Yes",13,"Excellent","Very High","Few",6,0,"Better",5,4,1,4,2.6,6,39,"Yes"
54,"No","Travel_Frequently",928,"Research & Development","5","Master","Life Sciences","Very High","Female",31,"High","Junior","Research Sci.","High","Single",4869,16885,4,"No",12,"Excellent","Very High","No",20,4,"Good",4,3,0,3,3,5,12,"Yes"
43,"No","Travel_Rarely",1001,"Research & Development","3","Bachelor","Life Sciences","High","Female",43,"High","Senior","Representatives","Low","Married",9985,9262,9,"No",16,"Excellent","Low","Few",10,1,"Good",1,0,0,0,16,1.11111111111111,23,"Yes"
45,"No","Travel_Rarely",549,"Research & Development","3","Master","Other","Very High","Male",75,"High","Junior","Research Sci.","Very High","Married",3697,9278,10,"No",14,"Excellent","Low","Medium",12,3,"Better",10,9,9,8,1.4,1.2,21,"Yes"
40,"No","Travel_Rarely",1124,"Sales","1","College","Medical","Medium","Male",57,"Low","Junior","Sales Executive","Very High","Married",7457,13273,3,"Yes",22,"Outstanding","High","High",6,2,"Good",4,3,0,2,5.5,2,26,"Yes"
29,"Yes","Travel_Rarely",318,"Research & Development","3","Master","Other","Medium","Male",77,"Low","Intern","Lab. Tech.","Low","Married",2119,4759,2,"Yes",11,"Excellent","Very High","No",7,4,"Good",7,7,0,7,1.57142857142857,3.5,37,"No"
29,"No","Travel_Rarely",738,"Research & Development","3","Doctor","Other","Medium","Male",30,"Medium","Intern","Lab. Tech.","Very High","Single",3983,7621,1,"No",17,"Excellent","High","No",4,2,"Better",3,2,2,2,5.66666666666667,4,37,"Yes"
30,"No","Travel_Rarely",570,"Sales","2","Bachelor","Marketing","Very High","Female",30,"Medium","Junior","Sales Executive","High","Divorced",6118,5431,2,"No",13,"Excellent","High","High",10,2,"Better",10,9,1,2,1.3,5,36,"Yes"
27,"No","Travel_Rarely",1130,"Sales","3","Master","Marketing","Medium","Female",56,"High","Junior","Sales Executive","Medium","Married",6214,3415,2,"No",18,"Excellent","Low","Few",8,3,"Better",8,7,0,7,2.25,4,39,"Yes"
37,"No","Travel_Rarely",1192,"Research & Development","2","College","Medical","Very High","Male",61,"High","Junior","Directors","Very High","Divorced",6347,23177,8,"No",16,"Excellent","High","Medium",8,2,"Good",6,2,0,4,2.66666666666667,1,29,"Yes"
38,"No","Travel_Rarely",343,"Research & Development","4","College","Life Sciences","High","Male",92,"Medium","Senior","Directors","Very High","Divorced",11510,15682,1,"Yes",14,"Excellent","Medium","Few",12,3,"Better",11,10,2,9,1.27272727272727,12,28,"Yes"
31,"No","Travel_Rarely",1232,"Research & Development","3","Master","Medical","High","Female",39,"High","Senior","Directors","Very High","Single",7143,25713,2,"Yes",14,"Excellent","High","No",11,2,"Good",11,9,4,10,1.27272727272727,5.5,35,"Yes"
29,"No","Travel_Rarely",144,"Sales","3","Below College","Marketing","Very High","Female",39,"Medium","Junior","Sales Executive","Medium","Divorced",8268,11866,2,"Yes",14,"Excellent","Low","Medium",7,2,"Better",7,7,1,7,2,3.5,37,"No"
35,"No","Travel_Rarely",1296,"Research & Development","2","Master","Technical Degree","High","Male",62,"High","Senior","Directors","Medium","Single",8095,18264,1,"No",13,"Excellent","Very High","No",17,5,"Better",16,6,0,13,0.8125,17,31,"Yes"
23,"No","Travel_Rarely",1309,"Research & Development","6","Below College","Life Sciences","High","Male",83,"High","Intern","Research Sci.","Very High","Divorced",2904,16092,2,"No",12,"Excellent","High","Medium",4,2,"Good",4,2,0,2,3,2,43,"Yes"
41,"No","Travel_Rarely",483,"Research & Development","2","Bachelor","Medical","Very High","Male",95,"Medium","Junior","Directors","Medium","Single",6032,10110,7,"Yes",15,"Excellent","Very High","No",8,3,"Better",5,4,1,2,3,1.14285714285714,25,"Yes"
47,"No","Travel_Frequently",1309,"Sales","2","Below College","Medical","Medium","Male",99,"High","Junior","Representatives","High","Single",2976,25751,4,"No",19,"Excellent","Low","No",5,3,"Better",0,0,0,0,38,1.25,19,"No"
42,"No","Travel_Rarely",810,"Research & Development","6","Doctor","Life Sciences","Low","Female",44,"High","Manager","Directors","Very High","Single",15992,15901,3,"No",14,"Excellent","Medium","No",16,2,"Better",1,0,0,0,14,5.33333333333333,24,"Yes"
29,"No","Non-Travel",746,"Sales","1","Bachelor","Life Sciences","Very High","Male",61,"High","Junior","Sales Executive","High","Married",4649,16928,2,"No",14,"Excellent","Low","Few",4,3,"Good",4,3,0,2,3.5,2,37,"Yes"
42,"No","Travel_Rarely",544,"Human Resources","1","Below College","Technical Degree","High","Male",52,"High","Intern","H.R.","High","Divorced",2696,24017,1,"Yes",11,"Excellent","High","Few",4,5,"Better",3,2,1,0,3.66666666666667,4,24,"Yes"
32,"No","Travel_Rarely",1062,"Research & Development","1","Bachelor","Medical","High","Female",75,"High","Intern","Lab. Tech.","Medium","Married",2370,3956,2,"No",13,"Excellent","High","Few",8,4,"Better",8,0,0,7,1.625,4,34,"Yes"
48,"No","Travel_Rarely",530,"Sales","7","Below College","Medical","Low","Female",91,"High","Senior","Manager","High","Married",12504,23978,4,"No",21,"Outstanding","Medium","Few",15,3,"Bad",0,0,0,0,42,3.75,18,"No"
37,"No","Travel_Rarely",1319,"Research & Development","2","Bachelor","Medical","High","Male",51,"Very High","Junior","Research Sci.","Low","Divorced",5974,17001,5,"Yes",13,"Excellent","Low","Medium",13,2,"Better",7,7,6,7,1.85714285714286,2.6,29,"No"
30,"No","Non-Travel",641,"Sales","6","College","Technical Degree","Very High","Female",85,"High","Junior","Sales Executive","High","Married",4736,6069,8,"Yes",12,"Excellent","Medium","Few",4,2,"Best",2,2,2,2,6,0.5,36,"No"
26,"No","Travel_Rarely",933,"Sales","1","Bachelor","Life Sciences","High","Male",57,"High","Junior","Sales Executive","High","Married",5296,20156,2,"No",17,"Excellent","Medium","Few",8,3,"Better",8,7,7,7,2.125,4,40,"Yes"
42,"No","Travel_Rarely",1332,"Research & Development","1","Master","Other","Low","Male",98,"Medium","Junior","Representatives","Very High","Single",6781,17078,4,"No",23,"Outstanding","Medium","No",14,6,"Better",1,0,0,0,23,3.5,24,"Yes"
21,"Yes","Travel_Frequently",756,"Sales","1","Below College","Technical Degree","Low","Female",99,"Medium","Intern","Representatives","Medium","Single",2174,9150,2,"Yes",11,"Excellent","High","No",3,3,"Better",3,2,1,2,3.66666666666667,1.5,45,"Yes"
36,"No","Non-Travel",845,"Sales","1","Doctor","Medical","Very High","Female",45,"High","Junior","Sales Executive","Very High","Single",6653,15276,5,"No",15,"Excellent","Medium","No",7,6,"Better",1,0,0,0,15,1.4,30,"Yes"
36,"No","Travel_Frequently",541,"Sales","2","Master","Medical","Low","Male",48,"Medium","Senior","Sales Executive","Very High","Married",9699,7246,5,"No",11,"Excellent","Low","Few",16,2,"Better",13,9,1,12,0.846153846153846,3.2,30,"Yes"
57,"No","Travel_Rarely",593,"Research & Development","1","Master","Medical","Very High","Male",88,"High","Junior","Representatives","High","Married",6755,2967,3,"No",11,"Excellent","High","No",15,2,"Better",3,2,1,2,3.66666666666667,5,9,"Yes"
40,"No","Travel_Rarely",1171,"Research & Development","3","Master","Life Sciences","Very High","Female",46,"Very High","Intern","Lab. Tech.","High","Married",2213,22495,4,"Yes",13,"Excellent","High","Few",10,3,"Better",7,7,1,7,1.85714285714286,2.5,26,"No"
21,"No","Non-Travel",895,"Sales","3","College","Medical","Low","Male",39,"High","Intern","Representatives","Very High","Single",2610,2851,2,"No",24,"Outstanding","High","No",3,3,"Good",3,2,2,2,8,1.5,45,"Yes"
33,"Yes","Travel_Rarely",350,"Sales","2","Bachelor","Marketing","Very High","Female",34,"High","Intern","Representatives","High","Single",2851,9150,2,"Yes",13,"Excellent","Medium","No",1,2,"Better",1,0,0,0,13,0.5,33,"Yes"
37,"No","Travel_Rarely",921,"Research & Development","3","Bachelor","Medical","High","Female",98,"High","Intern","Lab. Tech.","Low","Married",3452,17663,7,"No",20,"Outstanding","Medium","Few",17,3,"Better",5,4,0,3,4,2.42857142857143,29,"Yes"
46,"No","Non-Travel",1144,"Research & Development","3","Master","Medical","High","Female",30,"High","Junior","Directors","High","Married",5258,16044,3,"No",14,"Excellent","High","No",7,2,"Best",1,0,0,0,14,2.33333333333333,20,"Yes"
41,"Yes","Travel_Frequently",143,"Sales","2","Bachelor","Marketing","Low","Male",56,"High","Junior","Sales Executive","Medium","Single",9355,9558,2,"No",18,"Excellent","High","No",8,5,"Better",8,7,7,7,2.25,4,25,"Yes"
50,"No","Travel_Rarely",1046,"Research & Development","3","Bachelor","Technical Degree","Very High","Male",100,"Medium","Senior","Representatives","Very High","Single",10496,2755,7,"No",15,"Excellent","Very High","No",20,2,"Better",4,3,1,3,3.75,2.85714285714286,16,"Yes"
40,"Yes","Travel_Rarely",575,"Sales","5","College","Marketing","High","Male",68,"Medium","Junior","Sales Executive","High","Married",6380,6110,3,"Yes",12,"Excellent","Low","Medium",8,6,"Better",6,4,1,0,2,2.66666666666667,26,"Yes"
31,"No","Travel_Rarely",408,"Research & Development","3","Master","Life Sciences","High","Male",42,"Medium","Intern","Research Sci.","Medium","Single",2657,7551,1,"Yes",16,"Excellent","Very High","No",3,5,"Better",2,2,2,2,8,3,35,"No"
21,"Yes","Travel_Rarely",156,"Sales","4","Bachelor","Life Sciences","High","Female",90,"Very High","Intern","Representatives","Medium","Single",2716,25422,2,"No",15,"Excellent","Very High","No",1,0,"Better",1,0,0,0,15,0.5,45,"Yes"
29,"No","Travel_Rarely",1283,"Research & Development","6","Bachelor","Life Sciences","Very High","Male",54,"High","Intern","Research Sci.","Very High","Single",2201,18168,10,"No",16,"Excellent","Very High","No",6,4,"Better",3,2,1,2,5.33333333333333,0.6,37,"Yes"
35,"No","Travel_Rarely",755,"Research & Development","3","Master","Life Sciences","High","Male",97,"Medium","Junior","Representatives","Medium","Single",6540,19394,10,"No",19,"Excellent","High","No",10,5,"Better",1,1,0,0,19,1,31,"Yes"
27,"No","Travel_Rarely",1469,"Research & Development","1","College","Medical","Very High","Male",82,"High","Intern","Lab. Tech.","Medium","Divorced",3816,17881,2,"No",11,"Excellent","Medium","Few",5,2,"Better",5,2,0,4,2.2,2.5,39,"Yes"
28,"No","Travel_Rarely",304,"Sales","3","Master","Life Sciences","Medium","Male",92,"High","Junior","Sales Executive","Very High","Single",5253,20750,2,"No",16,"Excellent","Very High","No",7,1,"Better",7,5,0,7,2.28571428571429,3.5,38,"No"
49,"No","Travel_Rarely",1261,"Research & Development","3","Bachelor","Other","Medium","Male",31,"Medium","Senior","Representatives","High","Single",10965,12066,9,"No",24,"Outstanding","High","No",26,2,"Better",5,2,0,0,4.8,2.88888888888889,17,"Yes"
51,"No","Travel_Rarely",1178,"Sales","4","College","Life Sciences","High","Female",87,"High","Junior","Sales Executive","Very High","Married",4936,14862,5,"No",11,"Excellent","High","Few",18,2,"Good",7,7,0,7,1.57142857142857,3.6,15,"No"
36,"No","Travel_Rarely",329,"Research & Development","1","Bachelor","Life Sciences","Very High","Female",96,"High","Intern","Research Sci.","High","Married",2543,11868,5,"No",13,"Excellent","Medium","Few",6,3,"Better",2,2,2,2,6.5,1.2,30,"No"
34,"Yes","Non-Travel",1362,"Sales","5","Bachelor","Marketing","Low","Male",67,"Very High","Junior","Sales Executive","Very High","Single",5304,4652,9,"Yes",13,"Excellent","Medium","No",9,3,"Good",5,2,0,4,2.6,1,32,"Yes"
55,"No","Travel_Rarely",1311,"Research & Development","1","Bachelor","Life Sciences","High","Female",97,"High","Manager","Manager","Very High","Single",16659,23258,3,"Yes",13,"Excellent","High","No",30,2,"Better",5,4,1,2,2.6,10,11,"Yes"
24,"No","Travel_Rarely",1371,"Sales","3","Master","Marketing","Very High","Female",77,"High","Junior","Sales Executive","High","Divorced",4260,5915,2,"Yes",12,"Excellent","Very High","Few",5,2,"Best",5,2,0,3,2.4,2.5,42,"Yes"
30,"No","Travel_Rarely",202,"Sales","1","Below College","Technical Degree","High","Male",72,"High","Intern","Representatives","Medium","Married",2476,17434,2,"No",18,"Excellent","Low","Few",1,3,"Better",1,0,0,0,18,0.5,36,"Yes"
26,"Yes","Travel_Frequently",575,"Research & Development","2","Below College","Technical Degree","High","Male",73,"High","Intern","Research Sci.","Low","Single",3102,6582,1,"No",22,"Outstanding","High","No",7,2,"Better",6,4,0,4,3.66666666666667,7,40,"Yes"
22,"No","Travel_Rarely",253,"Research & Development","4","Bachelor","Medical","Low","Female",43,"High","Intern","Research Sci.","Medium","Married",2244,24440,2,"No",13,"Excellent","Very High","Few",2,1,"Better",2,1,1,2,6.5,1,44,"No"
36,"No","Travel_Rarely",164,"Sales","1","College","Medical","Medium","Male",61,"Medium","Senior","Sales Executive","High","Married",7596,3809,2,"No",13,"Excellent","Medium","Medium",10,2,"Better",10,9,9,0,1.3,5,30,"Yes"
30,"Yes","Travel_Frequently",464,"Research & Development","2","Bachelor","Technical Degree","High","Male",40,"High","Intern","Research Sci.","Very High","Single",2285,3427,10,"Yes",23,"Outstanding","High","No",3,4,"Better",1,0,0,0,23,0.3,36,"Yes"
37,"No","Travel_Rarely",1107,"Research & Development","4","Bachelor","Life Sciences","Very High","Female",95,"High","Intern","Lab. Tech.","Low","Divorced",3034,26914,2,"No",12,"Excellent","High","Few",18,2,"Good",18,7,12,17,0.666666666666667,9,29,"Yes"
40,"No","Travel_Rarely",759,"Sales","1","College","Marketing","Very High","Female",46,"High","Junior","Sales Executive","Medium","Divorced",5715,22553,8,"No",12,"Excellent","High","Medium",8,5,"Better",5,4,1,3,2.4,1,26,"Yes"
42,"No","Travel_Rarely",201,"Research & Development","1","Master","Life Sciences","Medium","Female",95,"High","Intern","Lab. Tech.","Low","Divorced",2576,20490,4,"No",16,"Excellent","Medium","Few",8,5,"Better",5,2,1,2,3.2,2,24,"Yes"
37,"No","Travel_Rarely",1305,"Research & Development","3","Master","Life Sciences","High","Male",49,"High","Junior","Directors","Medium","Single",4197,21123,3,"Yes",12,"Excellent","Very High","No",18,2,"Good",1,0,0,1,12,6,29,"No"
43,"No","Travel_Rarely",982,"Research & Development","4","Bachelor","Life Sciences","Low","Male",59,"Medium","Manager","Directors","Medium","Divorced",14336,4345,2,"No",11,"Excellent","High","Few",25,3,"Better",25,10,3,9,0.44,12.5,23,"Yes"
40,"No","Travel_Rarely",555,"Research & Development","1","Bachelor","Medical","Medium","Female",78,"Medium","Junior","Lab. Tech.","High","Married",3448,13436,7,"No",22,"Outstanding","Medium","Few",20,3,"Better",1,0,0,0,22,2.85714285714286,26,"Yes"
54,"No","Travel_Rarely",821,"Research & Development","2","College","Medical","Low","Male",86,"High","Director","Directors","Low","Married",19406,8509,5,"No",11,"Excellent","High","Few",24,4,"Good",4,2,1,2,2.75,4.8,12,"Yes"
34,"No","Non-Travel",1381,"Sales","2","Master","Marketing","High","Female",72,"High","Junior","Sales Executive","High","Married",6538,12740,10,"No",15,"Excellent","Low","Few",6,3,"Better",3,2,1,2,5,0.6,32,"Yes"
31,"No","Travel_Rarely",480,"Research & Development","3","College","Medical","Medium","Female",31,"High","Junior","Directors","Low","Married",4306,4156,2,"No",12,"Excellent","Medium","Few",13,5,"Bad",13,10,3,12,0.923076923076923,6.5,35,"Yes"
43,"No","Travel_Frequently",313,"Research & Development","5","Bachelor","Medical","Very High","Male",61,"High","Intern","Lab. Tech.","Very High","Married",2258,15238,8,"No",20,"Outstanding","Low","Few",8,1,"Better",3,2,1,2,6.66666666666667,1,23,"Yes"
43,"No","Travel_Rarely",1473,"Research & Development","3","Master","Other","High","Female",74,"High","Junior","Representatives","High","Divorced",4522,2227,5,"Yes",14,"Excellent","Very High","No",8,3,"Better",5,2,0,2,2.8,1.6,23,"Yes"
25,"No","Travel_Rarely",891,"Sales","2","College","Life Sciences","Medium","Female",99,"Medium","Junior","Sales Executive","Very High","Single",4487,12090,2,"Yes",11,"Excellent","Medium","No",5,3,"Better",5,4,1,3,2.2,2.5,41,"Yes"
37,"No","Non-Travel",1063,"Research & Development","6","Doctor","Medical","Medium","Female",72,"High","Junior","Research Sci.","High","Married",4449,23866,4,"Yes",15,"Excellent","Low","Medium",15,2,"Better",13,11,10,7,1.15384615384615,3.75,29,"Yes"
31,"No","Travel_Rarely",329,"Research & Development","1","College","Life Sciences","Very High","Male",98,"Medium","Intern","Lab. Tech.","Low","Married",2218,16193,2,"No",12,"Excellent","High","Few",4,3,"Better",4,2,3,2,3,2,35,"Yes"
39,"No","Travel_Frequently",1218,"Research & Development","1","Below College","Life Sciences","Medium","Male",52,"High","Director","Manager","High","Divorced",19197,8213,2,"Yes",14,"Excellent","High","Few",21,3,"Better",21,8,1,6,0.666666666666667,10.5,27,"Yes"
56,"No","Travel_Frequently",906,"Sales","2","Bachelor","Life Sciences","High","Female",86,"Very High","Manager","Sales Executive","Low","Married",13212,18256,10,"No",11,"Excellent","Very High","High",36,0,"Good",7,7,7,7,1.57142857142857,3.6,10,"No"
30,"No","Travel_Rarely",1082,"Sales","4","Bachelor","Technical Degree","Medium","Female",83,"High","Junior","Sales Executive","High","Single",6577,19558,1,"No",11,"Excellent","Medium","No",6,6,"Better",5,4,4,4,2.2,6,36,"Yes"
41,"No","Travel_Rarely",645,"Sales","1","Bachelor","Marketing","Medium","Male",49,"Very High","Senior","Sales Executive","Low","Married",8392,19566,2,"No",16,"Excellent","High","Few",10,2,"Better",10,7,0,7,1.6,5,25,"Yes"
28,"No","Travel_Rarely",1300,"Research & Development","5","College","Medical","High","Male",79,"High","Junior","Lab. Tech.","Low","Divorced",4558,13535,2,"No",12,"Excellent","Very High","Few",10,2,"Better",10,0,1,8,1.2,5,38,"Yes"
25,"Yes","Travel_Rarely",688,"Research & Development","2","Bachelor","Medical","Low","Male",91,"High","Intern","Lab. Tech.","Low","Married",4031,9396,6,"No",13,"Excellent","High","Few",6,5,"Better",2,2,0,2,6.5,1,41,"No"
52,"No","Travel_Rarely",319,"Research & Development","2","Bachelor","Medical","Very High","Male",39,"Medium","Senior","Directors","High","Married",7969,19609,3,"Yes",14,"Excellent","High","No",28,4,"Better",5,4,0,4,2.8,9.33333333333333,14,"Yes"
45,"No","Travel_Rarely",192,"Research & Development","3","College","Life Sciences","Low","Male",69,"High","Intern","Research Sci.","Very High","Married",2654,9655,4,"No",21,"Outstanding","Very High","Medium",8,3,"Good",2,2,0,2,10.5,2,21,"No"
52,"No","Travel_Rarely",1490,"Research & Development","2","College","Life Sciences","Very High","Female",30,"High","Manager","Manager","Very High","Married",16555,10310,3,"No",13,"Excellent","Very High","No",31,2,"Bad",5,2,1,4,2.6,10.3333333333333,14,"Yes"
42,"No","Travel_Frequently",532,"Research & Development","7","College","Life Sciences","Low","Female",92,"High","Junior","Research Sci.","High","Divorced",4556,12932,3,"No",11,"Excellent","Medium","Few",19,3,"Better",5,4,0,2,2.2,6.33333333333333,24,"Yes"
30,"No","Travel_Rarely",317,"Research & Development","1","Bachelor","Life Sciences","High","Female",43,"Low","Junior","Directors","Very High","Single",6091,24793,3,"No",20,"Outstanding","High","No",11,2,"Better",5,4,0,2,4,3.66666666666667,36,"Yes"
60,"No","Travel_Rarely",422,"Research & Development","3","Bachelor","Life Sciences","Low","Female",41,"High","Director","Manager","Low","Married",19566,3854,6,"No",11,"Excellent","Very High","No",33,5,"Bad",29,8,11,10,0.379310344827586,5.5,6,"Yes"
46,"No","Travel_Rarely",1485,"Research & Development","5","Bachelor","Medical","High","Female",87,"High","Junior","Directors","High","Divorced",4810,26314,3,"No",14,"Excellent","High","Few",19,5,"Good",10,7,0,8,1.4,6.33333333333333,20,"Yes"
42,"No","Travel_Frequently",1368,"Research & Development","7","Master","Technical Degree","Very High","Female",88,"Medium","Junior","Representatives","Very High","Married",4523,4386,1,"No",11,"Excellent","Very High","High",7,4,"Best",6,5,0,4,1.83333333333333,7,24,"Yes"
24,"Yes","Travel_Rarely",1448,"Sales","1","Below College","Technical Degree","Low","Female",62,"High","Intern","Representatives","Medium","Single",3202,21972,2,"Yes",16,"Excellent","Medium","No",6,4,"Better",5,3,1,4,3.2,3,42,"Yes"
34,"Yes","Travel_Frequently",296,"Sales","2","College","Marketing","Very High","Female",33,"Low","Intern","Representatives","High","Divorced",2351,12253,1,"No",16,"Excellent","Very High","Few",3,3,"Good",2,2,1,0,8,3,32,"Yes"
38,"No","Travel_Frequently",1490,"Research & Development","1","College","Life Sciences","Very High","Male",42,"High","Intern","Lab. Tech.","Very High","Married",1702,12106,2,"Yes",23,"Outstanding","High","Few",1,3,"Better",1,0,0,0,23,0.5,28,"Yes"
40,"No","Travel_Rarely",1398,"Sales","1","Master","Life Sciences","High","Female",79,"High","Director","Manager","High","Married",18041,13022,1,"No",14,"Excellent","Very High","No",21,2,"Better",20,15,1,12,0.7,21,26,"Yes"
26,"No","Travel_Rarely",1349,"Research & Development","6","Bachelor","Life Sciences","Low","Female",90,"High","Intern","Research Sci.","Very High","Divorced",2886,3032,2,"No",22,"Outstanding","Medium","Medium",3,3,"Bad",3,2,0,2,7.33333333333333,1.5,40,"Yes"
30,"No","Non-Travel",1400,"Research & Development","2","Bachelor","Life Sciences","High","Male",53,"High","Intern","Lab. Tech.","Very High","Married",2097,16734,5,"No",15,"Excellent","High","Few",9,3,"Bad",5,3,1,4,3,1.8,36,"Yes"
29,"No","Travel_Rarely",986,"Research & Development","2","Master","Medical","Medium","Male",93,"Medium","Senior","Directors","High","Married",11935,21526,2,"No",18,"Excellent","High","No",10,2,"Better",10,2,0,7,1.8,5,37,"Yes"
29,"Yes","Travel_Rarely",408,"Research & Development","6","Doctor","Technical Degree","High","Female",71,"Medium","Intern","Research Sci.","Medium","Married",2546,18300,6,"No",16,"Excellent","Medium","No",6,2,"Best",2,2,1,1,8,1,37,"Yes"
19,"Yes","Travel_Rarely",489,"Human Resources","1","College","Technical Degree","Low","Male",52,"Medium","Intern","H.R.","Very High","Single",2564,18437,2,"No",12,"Excellent","High","No",1,3,"Best",1,0,0,0,12,0.5,47,"Yes"
30,"No","Non-Travel",1398,"Sales","5","Master","Other","High","Female",69,"High","Senior","Sales Executive","Low","Married",8412,2890,1,"No",11,"Excellent","High","No",10,3,"Better",9,8,7,8,1.22222222222222,10,36,"Yes"
57,"No","Travel_Rarely",210,"Sales","7","Bachelor","Marketing","Low","Male",56,"Medium","Manager","Manager","Very High","Divorced",14118,22102,4,"No",12,"Excellent","High","Few",32,3,"Good",1,0,0,0,12,8,9,"Yes"
50,"No","Travel_Rarely",1099,"Research & Development","7","Master","Life Sciences","Medium","Male",88,"Medium","Manager","Manager","High","Married",17046,9314,1,"No",15,"Excellent","Medium","Few",28,2,"Better",27,10,15,7,0.555555555555556,28,16,"Yes"
30,"No","Non-Travel",1116,"Research & Development","1","Bachelor","Medical","High","Female",49,"High","Intern","Lab. Tech.","Very High","Single",2564,7181,1,"No",14,"Excellent","High","No",12,2,"Good",11,7,6,7,1.27272727272727,12,36,"Yes"
60,"No","Travel_Frequently",1499,"Sales","7","Bachelor","Marketing","High","Female",80,"Medium","Senior","Sales Executive","Low","Married",10266,2845,5,"No",19,"Excellent","Very High","No",22,5,"Best",18,13,13,11,1.05555555555556,4.4,6,"Yes"
47,"No","Travel_Rarely",983,"Research & Development","1","College","Medical","Low","Female",65,"High","Junior","Directors","Very High","Divorced",5070,7389,6,"No",13,"Excellent","High","High",20,2,"Better",5,0,0,4,2.6,3.33333333333333,19,"Yes"
46,"No","Travel_Rarely",1009,"Research & Development","1","Bachelor","Life Sciences","Low","Male",51,"High","Manager","Directors","High","Married",17861,2288,7,"No",13,"Excellent","High","No",26,2,"Bad",3,2,0,1,4.33333333333333,3.71428571428571,20,"Yes"
35,"No","Travel_Rarely",144,"Research & Development","5","Bachelor","Life Sciences","Very High","Male",46,"Low","Intern","Lab. Tech.","High","Single",4230,19225,1,"No",15,"Excellent","High","No",6,2,"Better",5,4,4,3,3,6,31,"Yes"
54,"No","Travel_Rarely",548,"Research & Development","3","Master","Life Sciences","High","Female",42,"High","Junior","Lab. Tech.","High","Single",3780,23428,8,"No",11,"Excellent","High","No",19,3,"Better",1,0,0,0,11,2.375,12,"Yes"
34,"No","Travel_Rarely",1303,"Research & Development","1","Master","Life Sciences","Very High","Male",62,"Medium","Intern","Research Sci.","High","Divorced",2768,8416,4,"No",12,"Excellent","High","Few",14,3,"Better",7,3,5,7,1.71428571428571,3.5,32,"No"
46,"No","Travel_Rarely",1125,"Sales","3","Bachelor","Marketing","High","Female",94,"Medium","Senior","Sales Executive","Very High","Married",9071,11563,3,"Yes",19,"Excellent","High","Few",15,3,"Better",3,2,1,2,6.33333333333333,5,20,"Yes"
31,"No","Travel_Rarely",1274,"Research & Development","3","Below College","Life Sciences","High","Male",33,"High","Senior","Directors","Medium","Divorced",10648,14394,2,"No",25,"Outstanding","Very High","Few",13,6,"Best",13,8,0,8,1.92307692307692,6.5,35,"Yes"
33,"Yes","Travel_Rarely",1277,"Research & Development","4","Below College","Medical","Medium","Male",56,"High","Senior","Manager","High","Married",13610,24619,8,"Yes",12,"Excellent","Very High","No",15,2,"Best",7,6,7,7,1.71428571428571,1.875,33,"No"
33,"Yes","Travel_Rarely",587,"Research & Development","3","Below College","Medical","Low","Male",38,"Low","Intern","Lab. Tech.","Very High","Divorced",3408,6705,8,"No",13,"Excellent","Low","High",8,2,"Better",4,3,1,3,3.25,1,33,"Yes"
30,"No","Travel_Rarely",413,"Sales","3","Below College","Marketing","Very High","Male",57,"High","Intern","Representatives","Medium","Single",2983,18398,1,"No",14,"Excellent","Low","No",4,3,"Better",3,2,1,2,4.66666666666667,4,36,"Yes"
35,"No","Travel_Rarely",1276,"Research & Development","5","Bachelor","Life Sciences","Very High","Male",72,"High","Senior","Representatives","High","Married",7632,14295,5,"Yes",12,"Excellent","High","No",10,2,"Better",8,7,0,0,1.5,2,31,"Yes"
